race	distance	climb	time
GreenmantleNewYearDash	2.5	0.65	16.08
Carnethy5HillRace	6	2.5	48.35
CraigDunainHillRace	6	0.9	33.65
BenRhaHillRace	7.5	0.8	45.6
BenLomondHillRace	8	3.07	62.27
GoatfellHillRace	8	2.866	73.22
BensofJuraFellRace	16	7.5	204.62
CairnpappleHillRace	6	0.8	36.37
ScoltyHillRace	5	0.8	29.75
TraprainLawRace	6	0.65	39.75
LairigGhruFunRun	28	2.1	192.67
DollarHillRace	5	2	43.05
LomondsofFifeHillRace	9.5	2.2	65
CairnTableHillRace	6	0.5	44.13
EildonTwoHillsRace	4.5	1.5	26.93
CairngormHillRace	10	3	72.25
SevenHillsofEdinburghRace	14	2.2	98.42
KnockHillRace	3	0.35	16.12
BlackHillRace	4.5	1	17.42
CreagBeagHillRace	5.5	0.6	32.57
KildoonHillRace	3	0.3	15.95
MeallAntSuidheHillRace	3.5	1.5	27.9
HalfBenNevis	6	2.2	47.65
CowHillRace	2	0.9	17.93
NorthBerwickLawRace	3	0.6	18.68
CreagDubhHillRace	4	2	26.22
BurnswarkHillRace	6	0.8	34.43
LargoLawRace	5	0.95	28.57
CriffelHillRace	6.5	1.75	50.5
AchmonyHillRace	5	0.5	20.95
BenNevisRace	10	4.4	85.58
KnockfarrelHillRace	6	0.6	32.38
TwoBreweriesFellRace	18	5.2	170.25
CockleroiHillRace	4.5	0.85	28.1
MoffatChase	20	5	159.83
